"","journal","impactfactor","JCR","filed"
"53","Journal of Tissue Engineering","6.7","Q1","CELL & TISSUE ENGINEERING"
"54","JOURNAL OF CARDIAC FAILURE","6.7","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"55","MEDICAL JOURNAL OF AUSTRALIA","6.7","Q1","MEDICINE, GENERAL & INTERNAL"
"56","Environmental Technology & Innovation","6.7","Q1","ENVIRONMENTAL SCIENCES"
"57","Science Signaling","6.7","Q1","CELL BIOLOGY"
"58","CLINICAL SCIENCE","6.7","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"59","PROGRESS IN NEUROBIOLOGY","6.7","Q1","NEUROSCIENCES"
"60","ACS Environmental Au","6.7","Q1","ENVIRONMENTAL SCIENCES"
"61","FERTILITY AND STERILITY","6.6","Q1","REPRODUCTIVE BIOLOGY"
"62","GENETICS IN MEDICINE","6.6","Q1","GENETICS & HEREDITY"
"63","EPILEPSIA","6.6","Q1","CLINICAL NEUROLOGY"
"64","ALIMENTARY PHARMACOLOGY & THERAPEUTICS","6.6","Q1","PHARMACOLOGY & PHARMACY"
"65","Health Psychology Review","6.6","Q1","PSYCHOLOGY, CLINICAL"
"66","NEUROPSYCHOPHARMACOLOGY","6.6","Q1","PSYCHIATRY"
"67","Journal of Behavioral Addictions","6.6","Q1","PSYCHIATRY"
"68","ECOLOGICAL ECONOMICS","6.6","Q1","ENVIRONMENTAL STUDIES"
"69","CLINICAL NUTRITION","6.6","Q1","NUTRITION & DIETETICS"
"70","Cell Chemical Biology","6.6","Q1","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"71","Evidence-Based Mental Health","6.6","Q1","PSYCHIATRY"
"72","RESPIROLOGY","6.6","Q1","RESPIRATORY SYSTEM"
"73","CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES","6.6","Q1","MEDICAL LABORATORY TECHNOLOGY"
"74","International Journal of Nanomedicine","6.6","Q1","PHARMACOLOGY & PHARMACY"
"75","Journal of Genetics and Genomics","6.6","Q1","GENETICS & HEREDITY"
"76","APL Bioengineering","6.6","Q1","ENGINEERING, BIOMEDICAL"
"77","Journal of Hazardous Materials Letters","6.6","Q1","ENVIRONMENTAL SCIENCES"
"78","CURRENT OPINION IN IMMUNOLOGY","6.6","Q1","IMMUNOLOGY"
"79","DRUG DELIVERY","6.5","Q1","PHARMACOLOGY & PHARMACY"
"80","RESUSCITATION","6.5","Q1","EMERGENCY MEDICINE"
"81","PLANT PHYSIOLOGY","6.5","Q1","PLANT SCIENCES"
"82","Molecular Therapy Nucleic Acids","6.5","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"83","Circulation-Cardiovascular Imaging","6.5","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"84","AMERICAN JOURNAL OF CLINICAL NUTRITION","6.5","Q1","NUTRITION & DIETETICS"
"85","Deutsches Arzteblatt International","6.5","Q1","MEDICINE, GENERAL & INTERNAL"
"86","Food Chemistry-X","6.5","Q1","FOOD SCIENCE & TECHNOLOGY"
"87","npj Breast Cancer","6.5","Q1","ONCOLOGY"
"88","OncoImmunology","6.5","Q1","ONCOLOGY"
"89","EMBO REPORTS","6.5","Q1","CELL BIOLOGY"
"90","FRONTIERS IN NEUROENDOCRINOLOGY","6.5","Q1","NEUROSCIENCES"
"91","DRUG DISCOVERY TODAY","6.5","Q1","PHARMACOLOGY & PHARMACY"
"92","Biotechnology and Genetic Engineering Reviews","6.5","Q1","GENETICS & HEREDITY"
"93","Translational Research","6.4","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"94","JOURNAL OF HEART AND LUNG TRANSPLANTATION","6.4","Q1","TRANSPLANTATION"
"95","POSTHARVEST BIOLOGY AND TECHNOLOGY","6.4","Q1","HORTICULTURE"
"96","INTERNATIONAL JOURNAL OF EPIDEMIOLOGY","6.4","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"97","eLife","6.4","Q1","BIOLOGY"
"98","INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS","6.4","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"99","BRITISH JOURNAL OF CANCER","6.4","Q1","ONCOLOGY"
"100","Current Pollution Reports","6.4","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"101","npj Regenerative Medicine","6.4","Q1","ENGINEERING, BIOMEDICAL"
"102","Reviews in Fisheries Science & Aquaculture","6.4","Q1","FISHERIES"
"103","MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH","6.4","Q1","TOXICOLOGY"
"104","JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS","6.4","Q1","TOXICOLOGY"
"105","Wiley Interdisciplinary Reviews-RNA","6.4","Q1","CELL BIOLOGY"
"106","Journal of Animal Science and Biotechnology","6.3","Q1","AGRICULTURE, DAIRY & ANIMAL SCIENCE"
"107","Burns & Trauma","6.3","Q1","SURGERY"
"108","JCI Insight","6.3","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"109","Travel Medicine and Infectious Disease","6.3","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"110","Methods in Ecology and Evolution","6.3","Q1","ECOLOGY"
"111","International Journal of Stroke","6.3","Q1","PERIPHERAL VASCULAR DISEASE"
"112","CLINICAL PHARMACOLOGY & THERAPEUTICS","6.3","Q1","PHARMACOLOGY & PHARMACY"
"113","Molecular Autism","6.3","Q1","NEUROSCIENCES"
"114","Innovative Food Science & Emerging Technologies","6.3","Q1","FOOD SCIENCE & TECHNOLOGY"
"115","NEOPLASIA","6.3","Q1","ONCOLOGY"
"116","npj Science of Food","6.3","Q1","FOOD SCIENCE & TECHNOLOGY"
"117","Journal of Water Process Engineering","6.3","Q1","WATER RESOURCES"
"118","Smart Agricultural Technology","6.3","Q1","AGRONOMY"
"119","CLINICAL AND EXPERIMENTAL ALLERGY","6.3","Q1","IMMUNOLOGY"
"120","Molecular Biomedicine","6.3","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"121","Systematic Reviews","6.3","Q1","MEDICINE, GENERAL & INTERNAL"
"122","PEDIATRICS","6.2","Q1","PEDIATRICS"
"123","PLANT JOURNAL","6.2","Q1","PLANT SCIENCES"
"124","Environmental Microbiome","6.2","Q1","MICROBIOLOGY"
"125","Acta Neuropathologica Communications","6.2","Q1","NEUROSCIENCES"
"126","GENOME RESEARCH","6.2","Q1","GENETICS & HEREDITY"
"127","DIABETES","6.2","Q1","ENDOCRINOLOGY & METABOLISM"
"128","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","6.2","Q1","TOXICOLOGY"
"129","Circulation-Cardiovascular Quality and Outcomes","6.2","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"130","Current Research in Food Science","6.2","Q1","FOOD SCIENCE & TECHNOLOGY"
"131","ALLERGOLOGY INTERNATIONAL","6.2","Q1","IMMUNOLOGY"
"132","SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY","6.2","Q1","DEVELOPMENTAL BIOLOGY"
"133","CELLULAR AND MOLECULAR LIFE SCIENCES","6.2","Q1","CELL BIOLOGY"
"134","ImmunoTargets and Therapy","6.2","Q1","IMMUNOLOGY"
"135","CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","6.2","Q1","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"136","Animal Nutrition","6.1","Q1","VETERINARY SCIENCES"
"137","ULTRASOUND IN OBSTETRICS & GYNECOLOGY","6.1","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"138","Journal of Pharmaceutical Analysis","6.1","Q1","PHARMACOLOGY & PHARMACY"
"139","AGRICULTURAL SYSTEMS","6.1","Q1","AGRICULTURE, MULTIDISCIPLINARY"
"140","Systematic Biology","6.1","Q1","EVOLUTIONARY BIOLOGY"
"141","World Journal of Pediatrics","6.1","Q1","PEDIATRICS"
"142","PLANT PHYSIOLOGY AND BIOCHEMISTRY","6.1","Q1","PLANT SCIENCES"
"143","JOURNAL OF CLINICAL MICROBIOLOGY","6.1","Q1","MICROBIOLOGY"
"144","DIABETES RESEARCH AND CLINICAL PRACTICE","6.1","Q1","ENDOCRINOLOGY & METABOLISM"
"145","Circulation-Cardiovascular Interventions","6.1","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"146","MOLECULAR & CELLULAR PROTEOMICS","6.1","Q1","BIOCHEMICAL RESEARCH METHODS"
"147","Journal of Translational Medicine","6.1","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"148","SOIL & TILLAGE RESEARCH","6.1","Q1","SOIL SCIENCE"
"149","Current Opinion in Toxicology","6.1","Q1","TOXICOLOGY"
"150","Ecosystem Services","6.1","Q1","ENVIRONMENTAL STUDIES"
"151","BREAST CANCER RESEARCH","6.1","Q1","ONCOLOGY"
"152","BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM","6.1","Q1","ENDOCRINOLOGY & METABOLISM"
"153","Artificial Intelligence in Medicine","6.1","Q1","MEDICAL INFORMATICS"
"154","CANCER","6.1","Q1","ONCOLOGY"
"155","EUROPEAN NEUROPSYCHOPHARMACOLOGY","6.1","Q1","PSYCHIATRY"
"156","PHYTOTHERAPY RESEARCH","6.1","Q1","PHARMACOLOGY & PHARMACY"
"157","Bioengineering & Translational Medicine","6.1","Q1","ENGINEERING, BIOMEDICAL"
"158","MICROBIOLOGICAL RESEARCH","6.1","Q1","MICROBIOLOGY"
"159","CURRENT OPINION IN STRUCTURAL BIOLOGY","6.1","Q1","CELL BIOLOGY"
"160","Hepatobiliary Surgery and Nutrition","6.1","Q1","SURGERY"
"161","Cell and Bioscience","6.1","Q1","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"162","Frontiers of Environmental Science & Engineering","6.1","Q1","ENVIRONMENTAL SCIENCES"
"163","Cell Death Discovery","6.1","Q1","CELL BIOLOGY"
"164","Journal of Materials Chemistry B","6.1","Q1","MATERIALS SCIENCE, BIOMATERIALS"
"165","INFECTIOUS DISEASE CLINICS OF NORTH AMERICA","6.1","Q1","INFECTIOUS DISEASES"
"166","APOPTOSIS","6.1","Q1","CELL BIOLOGY"
"167","JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY","6.1","Q1","IMMUNOLOGY"
"168","Reviews of Environmental Contamination and Toxicology","6.1","Q1","TOXICOLOGY"
"169","JAMA Otolaryngology-Head & Neck Surgery","6","Q1","SURGERY"
"170","World Journal of Emergency Surgery","6","Q1","SURGERY"
"171","HUMAN REPRODUCTION","6","Q1","REPRODUCTIVE BIOLOGY"
"172","JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY","6","Q1","SPORT SCIENCES"
"173","Crop Journal","6","Q1","PLANT SCIENCES"
"174","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","6","Q1","ENVIRONMENTAL SCIENCES"
"175","PLANT CELL AND ENVIRONMENT","6","Q1","PLANT SCIENCES"
"176","Circulation-Genomic and Precision Medicine","6","Q1","GENETICS & HEREDITY"
"177","NEURAL NETWORKS","6","Q1","NEUROSCIENCES"
"178","LAND USE POLICY","6","Q1","ENVIRONMENTAL STUDIES"
"179","EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY","6","Q1","CHEMISTRY, MEDICINAL"
"180","Gastric Cancer","6","Q1","ONCOLOGY"
"181","LIVER INTERNATIONAL","6","Q1","GASTROENTEROLOGY & HEPATOLOGY"
"182","Journal of Stroke","6","Q1","PERIPHERAL VASCULAR DISEASE"
"183","AGE AND AGEING","6","Q1","GERIATRICS & GERONTOLOGY"
"184","Journal of Environmental Informatics","6","Q1","ENVIRONMENTAL SCIENCES"
"185","LWT-FOOD SCIENCE AND TECHNOLOGY","6","Q1","FOOD SCIENCE & TECHNOLOGY"
"186","EPMA Journal","6","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"187","Antioxidants","6","Q1","FOOD SCIENCE & TECHNOLOGY"
"188","MOLECULAR MEDICINE","6","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"189","Cancer & Metabolism","6","Q1","ONCOLOGY"
"190","Environmental Sciences Europe","6","Q1","ENVIRONMENTAL SCIENCES"
"191","CURRENT OPINION IN CELL BIOLOGY","6","Q1","CELL BIOLOGY"
"192","CRITICAL REVIEWS IN PLANT SCIENCES","6","Q1","PLANT SCIENCES"
"193","Expert Opinion on Drug Discovery","6","Q1","PHARMACOLOGY & PHARMACY"
"194","CRITICAL REVIEWS IN MICROBIOLOGY","6","Q1","MICROBIOLOGY"
"195","Journal of Orthopaedic Translation","5.9","Q1","ORTHOPEDICS"
"196","Ocular Surface","5.9","Q1","OPHTHALMOLOGY"
"197","PSYCHOLOGICAL MEDICINE","5.9","Q1","PSYCHOLOGY, CLINICAL"
"198","JOURNAL OF UROLOGY","5.9","Q1","UROLOGY & NEPHROLOGY"
"199","PAIN","5.9","Q1","NEUROSCIENCES"
"200","Globalization and Health","5.9","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"201","Agricultural Water Management","5.9","Q1","WATER RESOURCES"
"202","Journal of Occupational Health Psychology","5.9","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"203","Fluids and Barriers of the CNS","5.9","Q1","NEUROSCIENCES"
"204","Epidemiology and Psychiatric Sciences","5.9","Q1","PSYCHIATRY"
"205","Journal of Hydrology","5.9","Q1","WATER RESOURCES"
"206","Hepatology International","5.9","Q1","GASTROENTEROLOGY & HEPATOLOGY"
"207","Journal of Environmental Sciences","5.9","Q1","ENVIRONMENTAL SCIENCES"
"208","ANTIOXIDANTS & REDOX SIGNALING","5.9","Q1","ENDOCRINOLOGY & METABOLISM"
"209","LAB ANIMAL","5.9","Q1","VETERINARY SCIENCES"
"210","REVIEWS IN FISH BIOLOGY AND FISHERIES","5.9","Q1","MARINE & FRESHWATER BIOLOGY"
"211","Oncogenesis","5.9","Q1","ONCOLOGY"
"212","European Journal of Internal Medicine","5.9","Q1","MEDICINE, GENERAL & INTERNAL"
"213","AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY","5.9","Q1","RESPIRATORY SYSTEM"
"214","Biofilm","5.9","Q1","MICROBIOLOGY"
"215","Neural Regeneration Research","5.9","Q1","NEUROSCIENCES"
"216","Neuroscience Bulletin","5.9","Q1","NEUROSCIENCES"
"217","Non-coding RNA Research","5.9","Q1","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"218","NUTRITION REVIEWS","5.9","Q1","NUTRITION & DIETETICS"
"219","HLA","5.9","Q1","PATHOLOGY"
"220","CURRENT OPINION IN MICROBIOLOGY","5.9","Q1","MICROBIOLOGY"
"221","Journal of Lipids","5.9","Q1","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"222","JOURNAL OF CLINICAL PERIODONTOLOGY","5.8","Q1","DENTISTRY, ORAL SURGERY & MEDICINE"
"223","Current Opinion in Insect Science","5.8","Q1","ENTOMOLOGY"
"224","BRAIN PATHOLOGY","5.8","Q1","PATHOLOGY"
"225","Ecological Informatics","5.8","Q1","ECOLOGY"
"226","JOURNAL OF MEDICAL INTERNET RESEARCH","5.8","Q1","MEDICAL INFORMATICS"
"227","Advances in Wound Care","5.8","Q1","DERMATOLOGY"
"228","Translational Psychiatry","5.8","Q1","PSYCHIATRY"
"229","THYROID","5.8","Q1","ENDOCRINOLOGY & METABOLISM"
"230","Marine Life Science & Technology","5.8","Q1","MARINE & FRESHWATER BIOLOGY"
"231","CANADIAN JOURNAL OF CARDIOLOGY","5.8","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"232","European Stroke Journal","5.8","Q1","PERIPHERAL VASCULAR DISEASE"
"233","Soil","5.8","Q1","SOIL SCIENCE"
"234","United European Gastroenterology Journal","5.8","Q1","GASTROENTEROLOGY & HEPATOLOGY"
"235","Epilepsy Currents","5.8","Q1","CLINICAL NEUROLOGY"
"236","Biomaterials Science","5.8","Q1","MATERIALS SCIENCE, BIOMATERIALS"
"237","ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY","5.8","Q1","IMMUNOLOGY"
"238","AMBIO","5.8","Q1","ENVIRONMENTAL SCIENCES"
"239","JOURNAL OF DENTAL RESEARCH","5.7","Q1","DENTISTRY, ORAL SURGERY & MEDICINE"
"240","JOURNAL OF INVESTIGATIVE DERMATOLOGY","5.7","Q1","DERMATOLOGY"
"241","OBSTETRICS AND GYNECOLOGY","5.7","Q1","OBSTETRICS & GYNECOLOGY"
"242","EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY","5.7","Q1","SURGERY"
"243","Horticultural Plant Journal","5.7","Q1","PLANT SCIENCES"
"244","Kidney International Reports","5.7","Q1","UROLOGY & NEPHROLOGY"
"245","BREAST","5.7","Q1","ONCOLOGY"
"246","Japanese Dental Science Review","5.7","Q1","DENTISTRY, ORAL SURGERY & MEDICINE"
"247","Biological Psychiatry-Cognitive Neuroscience and Neuroimaging","5.7","Q1","NEUROSCIENCES"
"248","HYDROLOGY AND EARTH SYSTEM SCIENCES","5.7","Q1","WATER RESOURCES"
"249","BioScience Trends","5.7","Q1","BIOLOGY"
"250","Diabetes Technology & Therapeutics","5.7","Q1","ENDOCRINOLOGY & METABOLISM"
"251","Annals of Intensive Care","5.7","Q1","CRITICAL CARE MEDICINE"
"252","MEAT SCIENCE","5.7","Q1","FOOD SCIENCE & TECHNOLOGY"
"253","Current Rheumatology Reports","5.7","Q1","RHEUMATOLOGY"
"254","Drug Delivery and Translational Research","5.7","Q1","PHARMACOLOGY & PHARMACY"
"255","Applied Water Science","5.7","Q1","WATER RESOURCES"
"256","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","5.7","Q1","FOOD SCIENCE & TECHNOLOGY"
"257","Biology Direct","5.7","Q1","BIOLOGY"
"258","Environmental Innovation and Societal Transitions","5.7","Q1","ENVIRONMENTAL STUDIES"
"259","INTERNATIONAL JOURNAL OF CANCER","5.7","Q1","ONCOLOGY"
"260","NPJ Schizophrenia","5.7","Q1","PSYCHIATRY"
"261","INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE","5.7","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"262","Current Opinion in Virology","5.7","Q1","VIROLOGY"
"263","Journal of Biological Engineering","5.7","Q1","BIOTECHNOLOGY & APPLIED MICROBIOLOGY"
"264","Fungal Biology Reviews","5.7","Q1","MYCOLOGY"
"265","Current Atherosclerosis Reports","5.7","Q1","PERIPHERAL VASCULAR DISEASE"
"266","Frontiers in Immunology","5.7","Q1","IMMUNOLOGY"
"267","CRITICAL REVIEWS IN TOXICOLOGY","5.7","Q1","TOXICOLOGY"
"268","ENTOMOLOGIA GENERALIS","5.6","Q1","ENTOMOLOGY"
"269","FISH AND FISHERIES","5.6","Q1","FISHERIES"
"270","FIELD CROPS RESEARCH","5.6","Q1","AGRONOMY"
"271","JOURNAL OF PATHOLOGY","5.6","Q1","PATHOLOGY"
"272","BMJ Quality & Safety","5.6","Q1","HEALTH POLICY & SERVICES"
"273","International Journal of Behavioral Nutrition and Physical Activity","5.6","Q1","PHYSIOLOGY"
"274","Acta Physiologica","5.6","Q1","PHYSIOLOGY"
"275","IRBM","5.6","Q1","ENGINEERING, BIOMEDICAL"
"276","Food Science and Human Wellness","5.6","Q1","NUTRITION & DIETETICS"
"277","HEART RHYTHM","5.6","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"278","INDUSTRIAL CROPS AND PRODUCTS","5.6","Q1","AGRONOMY"
"279","Geoderma","5.6","Q1","SOIL SCIENCE"
"280","JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY","5.6","Q1","CHEMISTRY, MEDICINAL"
"281","JOURNAL OF EXPERIMENTAL BOTANY","5.6","Q1","PLANT SCIENCES"
"282","Neurotherapeutics","5.6","Q1","PHARMACOLOGY & PHARMACY"
"283","mAbs","5.6","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"284","FOOD CONTROL","5.6","Q1","FOOD SCIENCE & TECHNOLOGY"
"285","Hepatology Communications","5.6","Q1","GASTROENTEROLOGY & HEPATOLOGY"
"286","Food Security","5.6","Q1","FOOD SCIENCE & TECHNOLOGY"
"287","Rice Science","5.6","Q1","PLANT SCIENCES"
"288","Cancer Biology & Medicine","5.6","Q1","ONCOLOGY"
"289","Food Structure-Netherlands","5.6","Q1","FOOD SCIENCE & TECHNOLOGY"
"290","Regenerative Biomaterials","5.6","Q1","MATERIALS SCIENCE, BIOMATERIALS"
"291","PROGRESS IN CARDIOVASCULAR DISEASES","5.6","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"292","Radiology-Imaging Cancer","5.6","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"293","Essays in Biochemistry","5.6","Q1","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"294","JOURNAL OF THROMBOSIS AND HAEMOSTASIS","5.5","Q1","PERIPHERAL VASCULAR DISEASE"
"295","Journal of Adolescent Health","5.5","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"296","HARMFUL ALGAE","5.5","Q1","MARINE & FRESHWATER BIOLOGY"
"297","Journal of Cardiovascular Computed Tomography","5.5","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"298","Molecular Ecology Resources","5.5","Q1","EVOLUTIONARY BIOLOGY"
"299","PLoS Pathogens","5.5","Q1","VIROLOGY"
"300","CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW","5.5","Q1","PSYCHOLOGY, CLINICAL"
"301","JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT","5.5","Q1","DERMATOLOGY"
"302","JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT","5.5","Q1","ENVIRONMENTAL STUDIES"
"303","Virus Evolution","5.5","Q1","VIROLOGY"
"304","MEDICAL MICROBIOLOGY AND IMMUNOLOGY","5.5","Q1","MICROBIOLOGY"
"305","Virulence","5.5","Q1","MICROBIOLOGY"
"306","CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY","5.5","Q1","ONCOLOGY"
"307","Current Psychiatry Reports","5.5","Q1","PSYCHIATRY"
"308","FEBS Journal","5.5","Q1","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"309","Expert Review of Vaccines","5.5","Q1","IMMUNOLOGY"
"310","INTERNATIONAL ENDODONTIC JOURNAL","5.4","Q1","DENTISTRY, ORAL SURGERY & MEDICINE"
"311","PRECISION AGRICULTURE","5.4","Q1","AGRICULTURE, MULTIDISCIPLINARY"
"312","Emergencias","5.4","Q1","EMERGENCY MEDICINE"
"313","PHYSIOLOGIA PLANTARUM","5.4","Q1","PLANT SCIENCES"
"314","Journal of Healthcare Informatics Research","5.4","Q1","MEDICAL INFORMATICS"
